
==================== REALISASI PENDAPATAN TA 2023.xlsx ====================
Row 0: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 8: 4 | 1.0 | nan | nan | nan | nan | PENDAPATAN ASLI DAERAH | 388781583850 | 486633326543 | 503508039710 | 50094888635 | 553602928345 | 113.76181986501955 | 0.0 | 702058453.0 | 793428374.0 | 901898010.0 | 898780647.0 | 982576009.0 | 87139399.0
Row 9: 4 | 1.0 | 1.0 | nan | nan | nan | Pajak Daerah | 198600000000 | 275850000000 | 294386694960 | 31379748829 | 325766443789 | 118.09550255174915 | 0.0 | 605630199.0 | 704659509.0 | 815966473.0 | 798212130.0 | 927125881.0 | 59546749.0
Row 10: 4 | 1.0 | 1.0 | 6.0 | nan | nan | Pajak Hotel | 6000000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 11: 4 | 1.0 | 1.0 | 6.0 | 1.0 | nan | Pajak Hotel | 6000000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 12: 4 | 1.0 | 1.0 | 6.0 | 1.0 | 1.0 | Pajak Hotel | 6000000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 13: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 14: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 15: 4 | 1.0 | 1.0 | 7.0 | nan | nan | Pajak Restoran | 16500000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 16: 4 | 1.0 | 1.0 | 7.0 | 1.0 | nan | Pajak Restoran dan Sejenisnya | 16500000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 17: 4 | 1.0 | 1.0 | 7.0 | 1.0 | 1.0 | Pajak Restoran dan Sejenisnya | 16500000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 18: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 19: 4 | 1.0 | 1.0 | 8.0 | nan | nan | Pajak Hiburan | 4000000000 | 0 | 0 | 0 | 0 | nan | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0

==================== REALISASI PENDAPATAN TA 2025.xlsx ====================
Row 0: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 15170900.0 | 10951050.0 | 8298100.0 | 13612150.0 | 9099625.0 | 6477950.0 | 0.0
Row 1: REALISASI PENDAPATAN DAERAH KABUPATEN SUKOHARJO TAHUN ANGGARAN 2025 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 83843608542 | nan | 1180112178.0 | 1471197572.0 | 1628968206.0 | 1422831992.0 | 941837662.0 | 621146428.0 | 0.0
Row 2: BULAN DESEMBER | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 7708180334.0 | 1706768172.0 | 1845772476.0 | 1576119666.0 | 1053075227.0 | 631717680.0 | nan
