TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2025,XVI,Prov. Jawa Timur,12975180937407.0,12874674116830.2,2933264488112.0,3201216680475.9,488116592768.08,488116592768.08,707296805380.0,898260613148.79
2025,1,Kab. Bangkalan,131235233293.0,110982268457.0,358548004918.0,337674378420.33,6083397817.0,6083397817.89,8546373312.0,7481252378.93
2025,2,Kab. Banyuwangi,375065550833.0,386114685155.0,305954314200.0,218965218068.55,24950000000.0,24945876115.94,34336685800.0,10123162318.57
2025,3,Kab. Blitar,247471838268.5,255040269868.61,291997805580.0,234284513248.37,2431375904.05,2444799750.45,29385296953.97,32533611791.1
2025,4,Kab. Bojonegoro,240584424570.0,240111341526.6,563073768937.0,539247249879.1,147449543830.0,146878206361.27,113368074926.0,159478014675.52
2025,5,Kab. Bondowoso,91180827373.0,81932377466.0,210295017226.0,139877894747.0,5000000000.0,4771114501.47,19644127469.0,16998612364.7
2025,6,Kab. Gresik,1098185912376.0,969658072455.77,376244423322.5,296328672604.0,12645000000.0,12053225530.7,81013819933.58,80961563955.89
2025,7,Kab. Jember,506748000000.0,390334363642.35,630578755094.34,501615003875.53,7834439331.0,7870236731.25,9209872578.0,35505118595.97
2025,8,Kab. Jombang,287372602400.0,312639155323.0,393262558795.0,396908607863.59,9751233093.29,10320050591.69,9574951386.0,27374884311.5
2025,9,Kab. Kediri,455446318826.0,414843911336.4,312623002162.54,265228849268.12,13990158640.0,11140455683.1,96103564689.0,74705203388.5
2025,10,Kab. Lamongan,270541595119.0,263348817388.1,312054524088.0,276876313647.2,19128785588.1,20927284614.05,80499359333.9,71963561524.92
2025,11,Kab. Lumajang,171794657379.0,165585983860.2,256434827914.0,239856734781.31,5865835557.4,5909911408.2,5879799023.0,16174233891.33
2025,12,Kab. Madiun,174326454169.0,175303414536.25,238733312928.0,214496796889.0,8411177620.0,8448705526.34,16849986420.0,19639255931.45
2025,13,Kab. Magetan,140871418143.0,146642678183.2,160972095807.0,157819168131.0,4777735848.37,4777735848.36,48376804296.0,48222887225.76
2025,14,Kab. Malang,730200171372.0,728375002516.8,311806563592.0,224121750413.36,30190613000.0,28438603509.95,137954378973.0,162486120644.58
2025,15,Kab. Nganjuk,251799492223.0,242529226777.0,308371031944.48,301750711194.78,5227019075.0,5349788795.34,21802563119.29,22973322634.65
2025,16,Kab. Ngawi,167691849617.0,167219024141.8,226626234298.0,207626605843.84,14247936927.0,13363326521.45,14649521321.0,15115564382.82
2025,17,Kab. Pacitan,75940072518.0,73821814159.89,162472264526.0,124816169049.0,3100000000.0,3124998825.41,4046557951.0,3863482329.01
2025,18,Kab. Pamekasan,108717265200.0,112108561595.0,252914744214.68,223837311093.0,2340920090.0,2340920090.88,13107525196.0,11853881252.01
2025,19,Kab. Pasuruan,672910538120.52,600440121115.27,387368601692.0,403853437092.88,5250000000.0,5224025211.0,116279280987.48,101663592301.29
2025,20,Kab. Ponorogo,212816090703.0,200680415426.0,284898812497.44,221975865655.0,2456267457.16,1290948657.0,8468990000.0,11241681490.1
2025,21,Kab. Probolinggo,147888731000.0,153439395465.4,252398961152.0,235366650066.98,6866387067.0,6948415848.34,15695822024.0,15099395444.15
2025,22,Kab. Sampang,66823603800.0,65596748263.0,349640373433.0,303493588253.82,8810000000.0,7136506761.85,17668842279.0,18956200435.78
2025,23,Kab. Sidoarjo,1696451167743.0,1627503416766.18,899169421000.0,844583758269.51,47821663259.0,47730122053.5,47954690107.0,65890203913.92
2025,24,Kab. Situbondo,95608439254.0,96057160403.2,154503239288.0,145215087270.8,4965202287.0,4989642157.03,47663144592.0,46865947124.02
2025,25,Kab. Sumenep,91136674181.0,99003996076.3,207597802327.0,216336298098.24,14071288743.55,14154213279.01,10054113138.47,13401823439.95
2025,26,Kab. Trenggalek,115641284302.0,112161950716.0,237254819388.0,186753475818.03,5865000000.0,6442140915.67,20273769303.0,4944658501.9
2025,27,Kab. Tuban,413675000000.0,437069919237.08,320239556990.0,283103516462.77,19750076382.84,19750076400.54,13745415910.37,33437191281.7
2025,28,Kab. Tulungagung,294334972600.0,283286651868.4,468853558147.75,466064166294.04,7425685532.3,7807042454.3,18606850111.64,22345938180.27
2025,29,Kab. Mojokerto,511565345000.0,484060750432.33,316090111427.0,305536297621.85,12038409877.0,12012546523.71,12050677244.0,17822455109.63
2025,30,Kota Batu,275233550400.0,248223576639.0,24532098000.0,10124798651.83,3529988579.0,2940968630.11,24689492900.0,23632130969.67
2025,31,Kota Blitar,95226053260.0,78362648490.81,108140059250.0,92379312142.0,1200000000.0,1181168435.64,5328115000.0,4653238633.35
2025,32,Kota Kediri,200850000000.0,209317545301.0,30541086820.0,36992967115.5,2903466410.43,2903466410.43,212580790783.19,191226793826.45
2025,33,Kota Madiun,147118202125.0,149545371118.0,122292977940.0,95719119327.47,14203827596.17,14203827596.17,11389080665.14,13292840729.09
2025,34,Kota Malang,863500000000.0,839033451669.61,123019801623.26,117498965233.61,30303076475.29,30303076475.29,34002100977.0,54935528380.53
2025,35,Kota Mojokerto,106128604000.0,106861319665.0,162734326295.0,114998315123.11,3950000000.0,3944139697.21,32486272013.0,45179704755.69
2025,36,Kota Pasuruan,85673424632.0,79968472463.2,98258519426.0,90028151329.0,6414019664.0,6253499185.57,24574774319.91,22531904265.97
2025,37,Kota Probolinggo,90460241713.0,94253088627.0,142015330731.0,114907981682.12,1609872868.0,1642720116.17,6535190735.0,10668698896.78
2025,38,Kota Surabaya,6919458678748.0,5623865421219.8,470616199330.0,357943965281.45,210074787736.0,104628017610.47,720202463868.0,719950835308.68
