TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2021,3,Kab. Blora,52024614000.0,55011009023.0,9389877400.0,10585312383.0,67047000000.0,67489626847.0,133783901580.0,192346846676.0
2021,5,Kab. Boyolali,139800000000.0,151157904795.0,15664745000.0,22651350993.0,16548499000.0,18988620888.0,212107599000.0,322114360221.0
2021,6,Kab. Brebes,120020000000.0,116568022694.0,33644220000.0,15625006684.0,9882962000.0,9839332523.0,317874915000.0,231409887331.95
2021,7,Kab. Cilacap,222995000000.0,221377109179.0,24035058851.0,18619623089.0,55168547761.0,56112553448.0,351155697540.0,443024496093.0
2021,8,Kab. Demak,156868000000.0,165776090682.0,24607605500.0,24230487613.0,22845412595.0,22845412595.0,200950691739.0,232155178266.79
2021,9,Kab. Grobogan,96770000000.0,101757090925.0,11325359240.0,11499676180.0,23374807000.0,25239340214.0,215205106468.0,285690237947.0
2021,10,Kab. Jepara,145610370000.0,170338793994.0,23959478000.0,22109852875.0,15982319000.0,15982320047.0,187418195000.0,200217183789.0
2021,11,Kab. Karanganyar,174850000000.0,194996239464.0,10039888000.0,11154427282.0,14834409000.0,14701590403.0,227566847000.0,205793873057.0
2021,12,Kab. Kebumen,101551500000.0,111279692176.0,29520683000.0,22853405291.0,16552859000.0,16552860815.0,251349778000.0,250361893813.0
2021,13,Kab. Kendal,174220000000.0,158232566370.0,22846438000.0,21661736337.0,16479402651.0,20052742157.0,201996220037.0,171597604081.0
2021,14,Kab. Klaten,115200000000.0,116531477867.0,12352582000.0,13773585852.0,12974459182.0,16409075267.0,137388299733.0,146947131264.0
2021,15,Kab. Kudus,139486900000.0,148014321891.0,22772851000.0,25306806552.97,9277165000.0,8371225490.0,195967480000.0,246812854365.0
2021,16,Kab. Magelang,112347877077.0,119200015138.0,15577421886.0,20124723775.0,26715782927.0,26880782928.0,207296023697.0,161262670702.0
2021,17,Kab. Pati,92415000000.0,108637472851.0,26329352000.0,27194008685.0,29498465000.0,30662101276.0,188343900000.0,222214777765.0
2021,18,Kab. Pekalongan,77131232673.0,83035092031.0,12861008641.0,11209922841.0,8728490728.0,9442422313.0,240973117219.0,149926992941.63
2021,19,Kab. Pemalang,82822262000.0,86991001229.0,34036643000.0,26233025437.0,22500842000.0,22500844418.0,167820795000.0,194753845211.0
2021,20,Kab. Purbalingga,55825000000.0,61367440369.0,12415891000.0,12127461520.0,18439442000.0,18439444440.0,203134189000.0,100638387867.0
2021,21,Kab. Purworejo,75444264359.0,83922039232.0,21572338252.0,18251350315.0,14213920408.0,14213920409.0,193511631940.0,286132113154.0
2021,22,Kab. Rembang,104989933000.0,109824233792.0,20190702247.0,16452709298.5,10789632000.0,10839239869.0,217472039044.53,221141266005.27
2021,23,Kab. Semarang,161684860000.0,189414772725.0,34307882000.0,27699257627.0,12296983000.0,12296985636.0,201292535000.0,346227908957.0
2021,24,Kab. Sragen,91000000000.0,107150939170.0,13121149060.0,13576346651.0,16500000000.0,22249581299.0,271342584898.0,394304044537.0
2021,25,Kab. Sukoharjo,194150000000.0,234391653352.0,20686733600.0,18274725507.0,34782213000.0,34782214740.0,171009152000.0,287100599218.0
2021,26,Kab. Tegal,133050000000.0,130096857479.0,22447112000.0,18506545467.0,15417021000.0,15417023399.0,298851032000.0,251439341928.0
2021,27,Kab. Temanggung,45834000000.0,52832251119.0,9230953050.0,9421733763.0,19633782917.0,19633082917.0,197058343749.0,281227908424.0
2021,28,Kab. Wonogiri,54650000000.0,60797887213.0,14892688250.0,15622635438.0,17333624464.0,17333586258.0,122696400000.0,147536955967.0
2021,29,Kab. Wonosobo,47015000000.0,52818102689.0,10187290000.0,11483767206.0,20328421612.0,20379467671.0,160542433593.0,255080951472.0
2021,30,Kota Magelang,32792500000.0,38088697858.0,5032925000.0,6255220022.0,7259380000.0,8504726391.0,206736691000.0,266542656911.0
2021,31,Kota Pekalongan,82200000000.0,87380370018.0,16282910000.0,14747483454.0,5803900000.0,5805514149.0,109921500000.0,96836643949.0
2021,32,Kota Salatiga,60370000000.0,65041971971.0,10441699000.0,14967001480.0,18824425000.0,18824426644.0,147770092000.0,181850337894.0
2021,33,Kota Semarang,2016634447354.0,1445547162684.0,87617710256.0,96517132869.0,66895891301.0,66896591301.0,436545036771.0,747157507122.0
2021,34,Kota Surakarta,303000000000.0,313990946393.0,60940870800.0,50546899628.0,12824137882.46,14807846106.0,137435695680.0,22556854858.0
2021,35,Kota Tegal,95991000000.0,97555404454.0,37231856000.0,22259387768.0,13196431000.0,10754041774.0,171068951500.0,57789495125.0
2021,XV,Prov. DI Yogyakarta,1688485236037.0,1688443843923.0,34367915101.0,38512949895.0,93923341444.0,96338516913.54,64803205864.0,77619453239.69
2021,1,Kab. Bantul,185912299401.0,202889570233.0,30217698354.0,27762536339.0,23707166955.0,20053289569.97,203699824177.0,159729832609.23
2021,2,Kab. Gunung Kidul,55712279733.0,61453585602.0,20649365876.0,21303681949.63,13360794545.73,13400975228.95,142135355838.0,140212815583.61
2021,3,Kab. Kulon Progo,85341500000.0,94479215907.05,8695050789.0,8136927740.16,13245310190.0,13245310189.67,139314781351.72,191292614298.85
2021,4,Kab. Sleman,488190000000.0,511407257119.0,39429475340.0,38699706039.0,38726973911.0,38164197265.0,204328574200.0,215408198296.0
2021,5,Kota Yogyakarta,324206500000.0,372462884357.0,22784158635.0,26855366529.0,23335909301.0,23991239142.05,144680789236.0,174812395309.82
2021,XVI,Prov. Jawa Timur,14227429290118.0,15400864401471.0,110303169600.0,110950961634.0,404504407994.0,408640386025.0,2382129484869.0,3015428216220.07
2021,1,Kab. Bangkalan,50719243639.0,48369674992.0,13572275106.0,13369359910.0,4304932494.0,2763879429.0,134199119032.0,202845032890.0
2021,2,Kab. Banyuwangi,181387157590.25,205832458681.0,59601764895.27,43140804291.0,23161685641.6,21491551361.34,241740467061.14,249040421707.56
2021,3,Kab. Blitar,92731215431.91,105183661620.53,28578406284.0,28481593626.0,2142505401.0,1941486895.75,191380254830.21,180376067451.17
2021,4,Kab. Bojonegoro,112092957348.0,137592586651.6,32800700499.0,32731385830.88,395592405021.0,398273820075.45,372498032716.0,385371470505.46
2021,5,Kab. Bondowoso,41547542000.0,34445734325.0,20109953528.0,14298692852.0,4260079389.0,4260079389.45,146869635045.0,130981351025.12
2021,6,Kab. Gresik,835318663807.0,721970908939.57,83899410000.0,62608242760.5,11911788354.0,11328944934.5,222134615589.0,235226228672.15
2021,7,Kab. Jember,226430500000.0,200741319299.0,42203813283.0,29951561974.0,6102248169.0,7064696843.75,445143354148.0,666307880466.73
2021,8,Kab. Jombang,121737606000.0,145669833492.5,15781053386.0,18549436863.81,4563294855.0,4563294845.55,328568361446.0,397485544254.72
2021,9,Kab. Kediri,197645000000.0,211898045267.3,23421020250.0,26810037670.0,9781939684.6,10525930496.5,225512041431.0,240100737557.36
2021,10,Kab. Lamongan,137595722312.0,134404544416.0,16669687900.0,14295774860.0,20029376958.0,19176236923.05,303703523870.0,447222642288.73
2021,11,Kab. Lumajang,90415000000.0,80703617235.0,37878290280.0,31750347753.5,6847114298.0,4711388731.48,169069196587.0,251182326411.13
2021,12,Kab. Madiun,66665000000.0,72293511619.89,8265404000.0,7649286700.0,7583944021.0,7602655088.65,235950497116.0,197894987572.46
2021,13,Kab. Magetan,55911000000.0,59116157289.7,24855724500.0,20614972931.0,3678367791.0,3723812406.75,123037624132.0,88341205626.94
2021,14,Kab. Malang,312640185062.0,0.0,34604571750.0,32056218249.0,20068612020.0,20593539140.25,374434314415.0,251642391737.94
2021,15,Kab. Nganjuk,88489600000.0,116256634107.0,27803503287.0,23567446599.0,3741455500.0,4040422262.0,239727865268.0,201879993927.8
2021,16,Kab. Ngawi,64335000000.0,67294146283.0,8282776412.0,8767062094.0,11232094612.0,11232094612.75,203740203567.0,172500366921.23
